texts	labels
今天東莞天氣如何	weather
從觀音橋到重慶市圖書館怎麼走	map
鴨蛋怎麼醃？	cookbook
怎麼治療牛皮癬	health
嘮什麼	chat
陽澄湖大閘蟹的做法。	cookbook
崑山大潤發在哪裏	map
紅燒肉怎麼做？嗯？	cookbook
南京到廈門的火車票	train
6的平方	calc
翻譯慷慨激昂	translation
放歌，天亮了。	music
女性時尚	tvchannel
查一下南昌到南京的火車	train
背首絕句的。	poetry
我幫媽媽洗什麼	chat
打電話給王宇婕	telephone
零零二三零六的股票	stock
調頻fm九十七點一	radio
把王世懷的號碼發給喬麗君	contacts
本期七星彩的中獎號碼是多少？	lottery
類風溼怎麼治？	health
apple	website
搜索國外大片	video
代碼000800的股票漲幅是多少	stock
秦皇島今天有什麼新聞	news
從中山到西安的汽車。	bus
葉哲是你的誰	chat
打電話給艾背	telephone
我背一下春曉。	poetry
你的啥啊	chat
嘿幹嘛呢	chat
打開酷狗並隨機播放	app
你不是豬嗎	chat
打電話給大培	telephone
長者也在嗎	chat
茄子雞蛋怎麼做？	cookbook
大骨湯的做法。	cookbook
我今天去北京了英語怎麼說	translation
這是啥啊	chat
你喜歡喝什麼茶呀	chat
所以查學西寧特鋼的股票	stock
來首唐詩小池	poetry
新建聯繫人張雨號碼是五六七	contacts
打開應用漫畫	app
北京的天氣好嗎	chat
你都不知道幾點	chat
查看電視錄像	video
去北京有什麼飛機	flight
張思文是不是大美女	chat
美國熱門的恐怖電影	video
上海到蘇州	map
最美的時光	video
幻影忍者	video
給我背一首滿江紅。	poetry
你有壓力嗎	chat
調幅am六百二十八	radio
微信是幹啥的	chat
有啥好喫	chat
週六晚上重慶衛視有轉播神探高倫布嗎	epg
根下25	calc
怎麼去泉城廣場	map
你怎麼總是失誤	chat
陳嫺TCL股票是漲還是跌了	stock
一年和嗎	chat
楊三姐告狀	video
幫我查一下今天開獎的15選5	lottery
123和34的差等於多少	calc
耳鳴怎麼辦	health
查找桑拿	video
那會不會下雨	weather
發信息給許路雨	message
能安慰安慰我嗎	chat
你還能做什麼	chat
給我找最新的盜夢空間	video
查詢中超賽事。	match
去棗莊的火車	train
如何做西紅柿炒蛋。	cookbook
排骨怎麼弄纔好喫？	cookbook
誰爲含愁獨不見	chat
哎你在幹啥呢	chat
到無錫到北京的火車有幾趟了	train
中央八	tvchannel
十分鐘後叫我起牀。	schedule
給王帥發個短信說他讓他起來尿尿	message
你能搜到小說不？	novel
買三注星期四開獎的七樂彩	lottery
我要看李連杰的電影	video
我要上網打開百度	website
我說的倒數第三句話是什麼	chat
到太湖怎麼走	map
你認識我嗎	chat
小笨近來好嗎	chat
蔣捷的宋詞	poetry
看一下今天有什麼新聞？	news
酸菜魚的做法，媽。	cookbook
查尋合肥到北京的航班	flight
幻劍書盟	website
CCTV-5節目表	epg
你有夥伴嗎	chat
笨笨你看過片嗎	chat
來個燈謎吧！	riddle
捍衛者	video
中國最強音	video
幫我查一下明天廣州到北京的航班。	flight
然後你轉了麼	chat
我要聽情動這首歌。	music
明天晚上湖南衛視演什麼電視劇	epg
電視劇火鳳凰	video
這麼聰明	chat
老版紅樓夢	video
查一下蘭州到成都的火車票	train
那你告訴我你幾歲纔好交朋友	chat
查詢柳州到昆明的列車	train
帶我去丹陽市眼鏡市場	map
古惑仔	video
背首靜夜思來聽一下。	poetry
呵呵，背首詩來聽。	poetry
男人好嗎	chat
怎樣蒸排骨最好喫的。	cookbook
你有什麼特長	chat
我想要轉發這條郵件	email
蒜薹的做法	cookbook
那是怎麼了	chat
看一下今天早上新聞。	news
女人的顏色六十九集	video
你考試掛科怎麼辦	chat
是不是隻要我說話你就說話	chat
植樹節是什麼時候	datetime
做魚怎麼做？	cookbook
最近有什麼好電影嗎？	video
搜索電影晚秋	video
清空提醒	schedule
來首宋詞。	poetry
可什麼愛我在罵你好嗎	chat
看動物卡通	video
呼叫徐媛	telephone
發短信	message
你開什麼車	chat
發短信給幺零零八六內容是十一	message
聽電話	telephone
艾萊岡給我點新聞。	news
李亞麗的工作是什麼	chat
你今天去了哪裏用英文怎麼講	translation
你好醜用英文怎麼說	translation
熱門電影有哪些啊？	cinemas
你幫我打開網站	website
小雨像什麼	chat
查看武漢天氣	weather
現在電視臺在放什麼節目	epg
煤炭板塊股票查詢	stock
搜索，西米露的做法。	cookbook
李白的將進酒。	poetry
爲什麼誇獎我	chat
現在電視臺在播什麼	epg
你好女兒這幾天有空整理了一下日本她想去的地方麻煩看一下去這些地方大約幾天是否可行報價多少非常感謝	chat
你喜歡聽什麼歌曲	chat
哪一天國際牛奶日	datetime
涼麪。	cookbook
你會喝酒嗎？	chat
元宵節還有幾個星期	datetime
撥打張月華的電話	telephone
怎麼弄紅燒肉哦？	cookbook
查詢一下明天廣州到武漢的航班	flight
給我查一下什麼時間有播放天天向上	epg
念個唐詩給我聽。	poetry
我想看中央六臺的電影。	epg
小燕子要去哪裏	chat
誰在和你對話	chat
常州天氣預報	weather
汪進祥怎麼樣	chat
明天回廣州的航班	flight
環球旅遊明天有演我愛飯米粒	epg
我要看c c t v一	tvchannel
打電話給阿敏	telephone
問問你做什麼呢	chat
爲什麼你是機器人	chat
幫我找首詩。	poetry
多少錢	chat
中超A組比賽結果分別是多少	match
武漢的精確時間是	datetime
收看安徽衛視節目。	epg
一加一用英語怎麼說	translation
上QQ我	app
最近有什麼熱門的電影？	cinemas
中國合夥人	video
你學什麼的？	chat
CCTV7軍事農業	tvchannel
你再給我推薦幾本書	chat
查找盧米埃銀泰電影院有播放什麼好看的電影嗎	cinemas
設置定時關機。	schedule
90年代林心如演的電視劇	video
介紹一下尖銳溼疣	health
發信息給老婆說我不回家喫飯了	message
新蛋網	website
翻譯李淼	translation
室友秀恩愛怎麼辦	chat
打電話給幺三八八九六七五八六七	telephone
小兵張嘎電影兒	video
趙包子怎麼做的，你？	cookbook
到北京的火車班次	train
現在哪個臺在播放劇情電視劇	epg
做麪包的配方。	cookbook
來首我的未來不是夢	music
我想聽忐忑這首歌打	music
搜索QQ	app
你成長了多少	chat
怎樣做糖醋排骨時，去喫飯洗澡了。	cookbook
播放田園的歌	music
查找90年代好評的武俠電影	video
你會唱歌嗎來一首	chat
海棉寶寶	video
知青	video
牛肉麪，哦。	cookbook
來一首，靈巖。	poetry
如何治療感冒	health
北京體育頻道明天的節目單	epg
我的愛金枝玉葉	video
你孝順父母嗎	chat
六安市飛雲衛生院在哪裏	map
中央一套什麼時候有建黨偉業	epg
把張玉娟的手機號碼發送給吳偉	contacts
今天天氣冷嗎	weather
苦瓜要怎麼做比較好喫	cookbook
打電話給盧靜	telephone
打開語音軟件	app
你最近幹嘛呢	chat
幫我打開電話本	app
查詢三一重工股票	stock
從聊城到東營的車。	bus
長沙到懷化的汽車。	bus
笨笨生氣了嗎	chat
香蕉的英語怎麼說	translation
騰訊股票昨日收盤價	stock
查看濟南到東營的，汽車。	bus
能山藥怎麼做？	cookbook
八月十一日從廈門飛往上海的航班	flight
合肥到蕪湖的火車票	train
附近電影院。	cinemas
我國是誰	chat
思春夜喜雨下一句是。	poetry
得了肝癌怎麼辦？	health
濟南去聊城的汽車。	bus
給周玉發短信	message
人造雞蛋的配方。	cookbook
你早上幾點鐘起牀	chat
怎樣炒肉。	cookbook
看空霸	video
給於海洋發短信	message
那你想當男生還是想當女生	chat
鄭州天氣怎麼樣	weather
洛陽至西安的火車	train
幫我搜索一下今天的新聞	news
大家今天心情如何用英語怎麼說	translation
新疆大盤雞的做法。	cookbook
上海到青島的飛機票	flight
我也是總是困怎麼辦	chat
大連飛往上海的航班	flight
我想知道深圳明天的天氣	weather
久久鴨怎麼做？	cookbook
唱一首簡單愛	music
你去玩手機了吧用英語怎麼說	translation
漂亮和醜你是哪個	chat
紅薯粉的做法，了。	cookbook
聽聽新聞。	news
雙色球的開獎號碼是多少？	lottery
前列腺炎該怎麼治？	health
我想打你英語怎麼說	translation
給許浩發一條短信	message
伊利股份股票	stock
