	texts	labels
0	消費限額	111_1
1	消費限額多少	111_1
2	帳單額度	111_1
3	現有卡片額度	111_1
4	想請問信用額度	111_1
5	額度	111_1
6	額度介紹	111_1
7	我信用卡額度核發多少	111_1
8	我的信用卡消費額度多少	111_1
9	如何查詢額度	111_1
10	我這張卡上限多少	111_1
11	我額度上限多少	111_1
12	我這張卡可以刷多少錢	111_1
13	請問信用額度	111_1
14	額度查詢	111_1
15	我這張卡片有多少額度	111_1
16	卡片總額度多少	111_1
17	我這張卡有多少可以刷	111_1
18	我這張卡額度多少	111_1
19	我這張卡能用多少	111_1
20	卡片核的額度是多少	111_1
21	我有多張卡片可以刷多少	111_1
22	全部的卡片可以刷多少	111_1
23	全部的卡片有多少額度	111_1
24	卡片刷卡上限是多少	111_1
25	卡片核多少	111_1
26	信用卡額度多少	111_1
27	卡片總額有多少	111_1
28	信用卡總額度多少	111_1
29	信用卡總額度有多少	111_1
30	卡片總額度有多少	111_1
31	信用卡總額有多少	111_1
32	卡片額度有多少	111_1
33	卡片核發額度	111_1
34	卡片限額	111_1
35	信用卡限額	111_1
36	信用卡總額多少	111_1
37	信用卡總額度金額	111_1
38	信用卡總額	111_1
39	信用卡核發額度	111_1
40	信用卡上限金額	111_1
41	我的信用卡總額	111_1
42	我的信用卡上限	111_1
43	我的信用卡核發金額	111_1
44	我的信用卡額度多少	111_1
45	我新卡額度多少	111_1
46	我新卡總額	111_1
47	我新卡限額	111_1
48	我新卡上限	111_1
49	我新卡總額度	111_1
50	我新卡額度有多少	111_1
51	我新卡核發金額	111_1
52	我的信用卡額度還有多少	111_1
53	請問信用卡額度	111_1
54	卡片核發總額度	111_1
55	卡片額度共用	111_1
56	所有卡片額度都共用嗎	111_1
57	信用卡額度上限	111_1
58	我的信用卡額度上限	111_1
59	信用卡額度還可以刷多少	111_1
60	卡片還剩多少額度	111_1
61	信用卡可刷額度	111_1
62	信用卡目前額度	111_1
63	信用卡目前可用額度	111_1
64	信用卡目前可使用的額度	111_1
65	卡片目前可用額度	111_1
66	卡片目前可刷額度	111_1
67	信用卡可刷金額	111_1
68	卡片可刷金額	111_1
69	目前卡片可刷金額	111_1
70	目前信用卡額度	111_1
71	卡片總額度	111_1
72	信用卡可刷總金額	111_1
73	卡片可刷總金額	111_1
74	卡片刷卡上限	111_1
75	我信用卡額度已經用多少了	111_2
76	已經用多少信用卡額度	111_2
77	信用卡額度用多少了	111_2
78	信用卡額度已經消費多少	111_2
79	信用卡額度用掉多少了	111_2
80	信用卡額度已用多少	111_2
81	我信用卡已經刷多少額度了	111_2
82	我總共刷多少了	111_2
83	信用卡已消費多少額度	111_2
84	我信用卡額度用多少了	111_2
85	我額度用掉多少了	111_2
86	我花費多少額度了	111_2
87	信用卡額度花多少了	111_2
88	已花費多少信用卡額度	111_2
89	已使用多少信用卡額度	111_2
90	我已經用多少信用卡額度	111_2
91	我刷了多少額度	111_2
92	信用卡已用額度查詢	111_2
93	已刷卡額度查詢	111_2
94	信用卡已刷卡額度	111_2
95	刷卡消費多少額度	111_2
96	信用卡消費多少額度了	111_2
97	我用掉多少卡片額度了	111_2
98	信用卡已經刷多少錢了	111_2
99	信用卡有目前刷多少了	111_2
100	信用卡全部消費有多少了	111_2
101	信用卡全部刷多少	111_2
102	我信用卡額度已經使用多少了	111_2
103	信用卡我刷了多少額度	111_2
104	信用卡額度我用了多少	111_2
105	我用了多少信用卡額度	111_2
106	信用卡額度我刷了多少	111_2
107	我刷了多少信用卡額度	111_2
108	信用卡已刷金額	111_2
109	信用卡已消費金額	111_2
110	已刷卡額度	111_2
111	目前已用額度	111_2
112	我已使用額度	111_2
113	我信用卡已使用金額	111_2
114	卡片已使用金額	111_2
115	卡片已刷金額	111_2
116	卡片已消費金額	111_2
117	目前已經刷多少了	111_2
118	目前已刷金額	111_2
119	目前已使用金額	111_2
120	信用卡還有多少沒付	111_2
121	我信用卡總共還欠多少	111_2
122	請問目前已經刷的額度	111_2
123	目前已使用額度	111_2
124	目前已刷額度	111_2
125	目前已經刷多少	111_2
126	請問目前刷卡多少錢	111_2
127	目前已請款金額	111_2
128	請問目前卡片刷卡金額	111_2
129	請問目前卡片已經刷多少錢	111_2
130	請問卡片目前使用額度狀況	111_2
131	想詢問目前以刷卡的金額	111_2
132	想詢問卡片目前刷卡金額	111_2
133	想詢問卡片以用額度	111_2
134	請問卡片已用額度	111_2
135	請問我已經刷多少金額	111_2
136	請問我目前已經刷多少錢	111_2
137	請問已經用掉多少額度了	111_2
138	想確認目前已用額度	111_2
139	想確認目前已經刷的金額	111_2
140	想確認目前已刷額度	111_2
141	請問目前刷卡金額	111_2
142	請問目前卡片以刷金額	111_2
143	請問目前已用多少額度	111_2
144	卡片已用金額	111_2
145	卡片已用額度	111_2
146	信用卡已用金額	111_2
147	本月已刷金額	111_2
148	本月已刷額度	111_2
149	本月已使用的額度	111_2
150	我帳單幾號結帳	111_3
151	我信用卡帳單何時才會結帳	111_3
152	我的結帳日是幾號	111_3
153	帳單要等到幾號才會結帳	111_3
154	我帳單結帳了沒	111_3
155	我信用卡還沒結帳嗎	111_3
156	信用卡結帳日期是什麼時候	111_3
157	結帳日	111_3
158	我要查結帳日	111_3
159	我想確認結帳日	111_3
160	我的結帳日是何時	111_3
161	我的帳單幾號結算	111_3
162	信用卡帳單幾號會寄來	111_3
163	信用卡帳單切點是幾號	111_3
164	信用卡今天刷卡什麼時候繳錢	111_3
165	現在刷卡帳單什麼時候寄來	111_3
166	信用卡結帳是幾號	111_3
167	信用卡幾號結帳	111_3
168	什麼時候可以查詢到信用卡帳單	111_3
169	我帳單什麼時候出來	111_3
170	我的信用卡消費什麼出來	111_3
171	信用卡帳單什麼時候結帳	111_3
172	幾號是信用卡結帳日	111_3
173	信用卡帳單出來了嗎	111_3
174	我幾號結帳	111_3
175	我信用卡帳單什麼時候會出來	111_3
176	信用卡帳單幾號會出來	111_3
177	我最新信用卡帳單什麼時候看的到	111_3
178	信用卡帳單結帳了嗎	111_3
179	我的信用卡帳單結帳了嗎	111_3
180	我信用卡幾號結帳	111_3
181	這個月結帳了嗎	111_3
182	信用卡結帳時間	111_3
183	信用卡哪時結帳	111_3
184	信用卡結帳日期	111_3
185	信用卡結算時間	111_3
186	卡片結帳日期	111_3
187	卡片結帳日是幾號	111_3
188	卡片結帳日期是幾號	111_3
189	卡片結算時間	111_3
190	我刷卡算到哪時候	111_3
191	我信用卡哪時出帳單	111_3
192	我刷卡結算日	111_3
193	我刷卡結算到哪時	111_3
194	我每個月幾號結帳	111_3
195	我信用卡的週期	111_3
196	我信用卡帳單刷卡週期	111_3
197	信用卡帳單幾號出來	111_3
198	幾號信用卡帳單出來	111_3
199	我信用卡帳單結算時間	111_3
200	幾號是信用卡出帳日	111_3
201	帳單什麼時候出來	111_3
202	帳單幾號關帳	111_3
203	帳單幾號結算	111_3
204	信用卡帳單結算日	111_3
205	信用卡帳單結算時間	111_3
206	我的信用卡帳單產出日	111_3
207	信用卡帳單產出日	111_3
208	信用卡帳單關帳時間	111_3
209	信用卡帳單產出時間	111_3
210	信用卡帳務產出時間	111_3
211	信用卡帳單結算日期	111_3
212	我的帳單日期	111_3
213	我的帳單結算日期	111_3
214	我的帳單結算時間	111_3
215	請問帳單關帳時間	111_3
216	請問帳單結算日	111_3
217	請問信用卡帳單周期	111_3
218	請問信用卡帳務結算時間	111_3
219	請問信用卡什麼時候結算	111_3
220	請問卡片帳單結算日	111_3
221	請問卡片帳單日期	111_3
222	請問卡片帳單周期	111_3
223	請問帳單繳款時間	111_3
224	帳單金額產出時間	111_3
225	想確認一筆刷卡請款了嗎	111_4
226	我要去哪裡查詢已經請款的消費	111_4
227	下期帳單有哪些消費	111_4
228	我想查下期帳單有哪些消費	111_4
229	我有哪些消費已經請款了	111_4
230	我想查下期帳單的刷卡明細	111_4
231	我有哪些刷卡已經請款了	111_4
232	我想確認已請款的消費	111_4
233	我想問一筆刷卡店家請款了嗎	111_4
234	請問店家請款了嗎	111_4
235	我到目前為止已經刷多少了	111_4
236	下一期我要繳多少	111_4
237	下期帳單目前有多少了	111_4
238	商店請款了沒	111_4
239	款項入帳了沒	111_4
240	下個月要繳多少	111_4
241	消費入帳了沒	111_4
242	買東西入帳明細	111_4
243	我這筆消費請款了嗎	111_4
244	查詢信用卡未出帳交易	111_4
245	信用卡未出帳明細	111_4
246	確認信用卡未出帳狀況	111_4
247	我還沒出帳的金額有多少	111_4
248	下一期我刷多少了	111_4
249	我帳單下一期刷多少	111_4
250	我帳單下一期已經刷多少	111_4
251	還沒出的金額刷多少	111_4
252	沒入帳單金額有多少	111_4
253	還沒繳費的明細	111_4
254	已請款明細	111_4
255	欲繳款明細	111_4
256	下期帳單繳款明細	111_4
257	下期帳單刷卡明細	111_4
258	要繳款明細	111_4
259	下期帳單明細	111_4
260	下個月繳款明細	111_4
261	隔月繳款明細	111_4
262	次月繳款明細	111_4
263	下次繳款明細	111_4
264	要繳款的明細	111_4
265	已請款的明細	111_4
266	欲繳款的明細	111_4
267	下期帳單繳款的明細	111_4
268	下期帳單刷卡的明細	111_4
269	下期帳單的明細	111_4
270	下個月繳款的明細	111_4
271	隔月繳款的明細	111_4
272	次月繳款的明細	111_4
273	下次要繳款明細	111_4
274	下次要繳款的明細	111_4
275	下期帳單目前已刷明細	111_4
276	下期帳單目前明細	111_4
277	下期帳單目前已刷的內容	111_4
278	下期帳單累積的刷卡內容	111_4
279	次月目前繳款內容	111_4
280	次月需繳款的明細	111_4
281	次月至單已刷內容	111_4
282	目前已經刷的內容	111_4
283	目前已經刷的明細	111_4
284	次月要繳明細	111_4
285	目前已請款明細	111_4
286	目前刷卡已請款的內容	111_4
287	目前刷卡已請款的明細	111_4
288	現在已經請款的內容	111_4
289	下期帳單目前要繳哪些	111_4
290	下期帳單累積的內容明細	111_4
291	次月帳單累積的內容明細	111_4
