texts	labels
what is the cost of a round trip flight from pittsburgh to atlanta beginning on april twenty fifth and returning on may sixth	atis_airfare
now i need a flight leaving fort worth and arriving in denver no later than 2 pm next monday	atis_flight
i need to fly from kansas city to chicago leaving next wednesday and returning the following day	atis_flight
what is the meaning of meal code s	atis_abbreviation
show me all flights from denver to pittsburgh which serve a meal for the day after tomorrow	atis_flight
show me all us air flights from atlanta to denver for the day after tomorrow	atis_flight
list the nonstop flights early tuesday morning from dallas to atlanta	atis_flight
show me the flights from st. petersburg to toronto that arrive early in the morning	atis_flight
i need a listing of flights from new york city to montreal canada departing thursday in the morning	atis_flight
show me the flights on american airlines which fly from st. petersburg to ontario canada with a stopover in st. louis	atis_flight
now show me ground transportation in houston on monday afternoon	atis_ground_service
show me the ground transportation schedule in philadelphia in the morning on wednesday	atis_ground_service
show me the ground transportation schedule in san francisco on thursday evening	atis_ground_service
i need a flight from toronto to san diego with a layover in washington dc on air canada	atis_flight
are there any flights from boston to san francisco which stop in washington dc	atis_flight
i need a flight on air canada from toronto to san diego with a layover in dc	atis_flight
what are the restrictions on the cheapest one way fare between boston and oakland	atis_restriction
what are the air restrictions on flights from pittsburgh to atlanta for the airfare of 416 dollars	atis_restriction
what's restriction ap68	atis_restriction
list california airports	atis_airport
what is the ground transportation available in fort worth texas	atis_ground_service
which airport is closest to ontario california	atis_airport
list california nevada arizona airports	atis_airport
actually what are the nonstop flights from las vegas to burbank on saturday may twenty two	atis_flight
how many nonstop flights going from dallas to oakland july twenty seventh	atis_quantity
i would like an early morning nonstop flight from new york to las vegas on february twenty eighth	atis_flight
show me a list of flights from boston to dc arriving before 9 am on july twenty second	atis_flight
is there a late afternoon flight leaving washington for denver	atis_flight
okay on tuesday june first i'd like to go from phoenix to detroit in the late afternoon	atis_flight
i need a list of late afternoon flights from chicago to milwaukee	atis_flight
i need a list of late afternoon flights from st. louis to chicago	atis_flight
what flights are available from indianapolis to san diego on april twenty first in the late afternoon	atis_flight
what does ls stand for	atis_abbreviation
what does s designate as a meal	atis_abbreviation
show me evening flights to baltimore	atis_flight
list the flights on wednesday from denver to washington arriving in washington between 1115 am and 1245 pm	atis_flight
list the nonstop flights on wednesday june second from miami to baltimore arriving in baltimore between 1115 am and 1245 pm	atis_flight
list the wednesday flights from denver to baltimore arriving in baltimore between 1115 am and 1245 pm	atis_flight
list the nonstop flights on wednesday june second from miami to washington arriving in washington between 1115 am and 1245 pm	atis_flight
show me all of the daily flights arriving in denver between 8 pm and 9 pm	atis_flight
list all trans world airline flights from indianapolis to houston that arrive in houston between 1030 am and 1130 am	atis_flight
i need a nonstop flight from atlanta to baltimore arriving between 5 pm and 730 pm	atis_flight
what flights leave charlotte north carolina and arrive in phoenix arizona on monday before 4 pm	atis_flight
i would like to find a flight from charlotte north carolina to las vegas i would like a stopover in st. louis	atis_flight
flights from newark new jersey to cleveland ohio	atis_flight
what flights do you have from newark new jersey to ontario california that connect in phoenix	atis_flight
flights from newark new jersey to cleveland	atis_flight
show me the flights from newark new jersey to ontario international next saturday	atis_flight
flights from newark new jersey to minneapolis	atis_flight
rental cars in washington dc	atis_ground_service
i'll need to rent a car in washington dc	atis_ground_service
what sort of ground transportation is there in washington dc	atis_ground_service
show me airports near washington dc	atis_airport
show me airports in washington dc	atis_airport
fine can you give me information on ground transportation in washington dc to downtown	atis_ground_service
show me ground transportation in washington dc	atis_ground_service
what flights are there available from philadelphia to denver on wednesday with economy class	atis_flight
can you show me economy class one way fares for flights from oakland to dallas on december sixteenth	atis_airfare
how many fare codes belong to economy class	atis_quantity
what is the coach economy class night service from boston to san francisco	atis_flight
what flights are there from san francisco to philadelphia daily with economy class	atis_flight
all flights from washington dc to san francisco after 5 pm on november twelfth economy class	atis_flight
all flights from boston to washington dc after 5 pm on november eleventh economy class	atis_flight
i want to know what flights you have available coach or economy class from baltimore to dallas	atis_flight
all flights from baltimore to atlanta between 1 o'clock and 3 o'clock in the afternoon	atis_flight
list flights from atlanta to boston leaving between 6 pm and 10 pm on august eighth	atis_flight
display flights from dallas to atlanta which depart between 2 pm and 6 pm	atis_flight
please show me the flights from denver to baltimore between 10 am and 2 pm	atis_flight
list all flights leaving denver between 8 pm and 9 pm	atis_flight
what are the flights available between 10 am and 3 pm between pittsburgh and fort worth	atis_flight
please show me flights from philadelphia to baltimore between 10 am and 2 pm	atis_flight
flights from denver to baltimore between 10 am and 2 pm	atis_flight
are snacks served on tower air	atis_meal
what types of meals are available	atis_meal
are meals ever served on tower air	atis_meal
what are my meal options from boston to denver	atis_meal
what meals are there on flight 382 from milwaukee to washington dc on tuesday morning	atis_meal
what are all the available meals	atis_meal
do i get a meal on the atlanta to bwi flight eastern 210	atis_meal
show me all meals on flights from atlanta to washington	atis_meal
is there a meal on delta flight 852 from san francisco to dallas fort worth	atis_meal
find me the latest return flight from atlanta to boston on the same day	atis_flight
how can i get from boston to atlanta and back in the same day and have the most hours on the ground in atlanta	atis_flight
what flights can i take between boston and atlanta so that when i leave boston i will have the maximum amount of time on the ground in atlanta and still return in the same day	atis_flight
find me the earliest flight from boston to atlanta and the latest return to boston on the same day	atis_flight
find me the earliest boston departure and the latest atlanta return trip so that i can be on the ground the maximum amount of time in atlanta and return to boston on the same day	atis_flight
i want to travel from kansas city to chicago round trip leaving wednesday june sixteenth arriving in chicago at around 7 o'clock in the evening and returning the next day arriving in kansas city at around 7 o'clock in the evening which airlines fly that route	atis_flight
find me the earliest boston departure for atlanta and the lastest return trip from atlanta so that i can be in atlanta the longest amount of time but return to boston the same day	atis_flight
i would like to fly from pittsburgh to atlanta on us air at the latest time possible in the evening	atis_flight
list all day time flights from pittsburgh to boston	atis_flight
what is the earliest arriving flight between boston and washington dc	atis_flight
what's the earliest arriving flight between boston and washington dc	atis_flight
coach fares only weekdays for denver to boston	atis_airfare
i'd like a red eye flight from new york to los angeles on saturday evening on us air	atis_flight
i need to take ten people from denver to phoenix please give me the flights during the week	atis_flight
i need to take ten people from phoenix to san diego please give me the flights during week days	atis_flight
what is the earliest arriving flight from boston to washington dc	atis_flight
what's the latest flight out of denver that arrives in pittsburgh next monday	atis_flight
what flights from salt lake city to new york city arrive next saturday before 6 pm	atis_flight
what flights from kansas city to chicago arrive at chicago at 7 pm next wednesday	atis_flight
what flights leave chicago and arrive in detroit around 6 pm next tuesday	atis_flight
what are the flights that leave detroit and arrive in chicago around 7 pm next wednesday	atis_flight
please find all the flights from cincinnati to any airport in the new york city area that arrive next saturday before 6 pm	atis_flight
find flights arriving new york city next saturday	atis_flight
all flights from pittsburgh to philadelphia that arrive at 6 o'clock next tuesday	atis_flight
show me all the flights arriving in charlotte around 5 pm next monday please	atis_flight
explain the restriction ap 57	atis_abbreviation
what does ap 20 mean	atis_abbreviation
what is the ap 57 restriction	atis_abbreviation
what is restriction ap 57	atis_abbreviation
what does restriction ap 57	atis_abbreviation
explain the restriction ap 80	atis_abbreviation
what does restriction ap 80 mean	atis_abbreviation
what does restriction ap 57 mean	atis_abbreviation
what are restrictions ap 57	atis_abbreviation
is twa flight 497766 from st. petersburg to milwaukee with one stop available tomorrow morning	atis_flight
what is the earliest flight that has no stops from washington to san francisco on friday	atis_flight
is there one stop with the us air boston leaving at 705 to atlanta	atis_flight
list all flights from boston to san francisco with the maximum number of stops	atis_flight
i'd like to book an flight on american airlines from boston to san francisco with one stop in pittsburgh	atis_flight
i want a flight from philadelphia to dallas that at least has one stop	atis_flight
philadelphia to san francisco with one stop in dallas please	atis_flight
