| ans | pred | texts | keyword |  |
|-|-|-|-|-|
| 111_1 | 1121 | 卡片還剩多少額度 | ['credit_card', 'debit_card', 'how_much', 'quota', 'remaining', 'under'] |  |
| 111_1 | 1121 | 信用卡可刷額度 | ['credit_card', 'quota', 'spend'] |  |
| 111_1 | 1121 | 信用卡目前額度 | ['credit_card', 'current', 'quota'] |  |
| 111_1 | 1121 | 信用卡目前可用額度 | ['credit_card', 'current', 'quota', 'remaining'] |  |
| 111_1 | 111_2 | 信用卡目前可使用的額度 | ['credit_card', 'current', 'quota', 'spend'] |  |
| 111_1 | 1121 | 卡片目前可用額度 | ['credit_card', 'current', 'debit_card', 'quota', 'remaining'] |  |
| 111_1 | 111_2 | 卡片目前可刷額度 | ['credit_card', 'current', 'debit_card', 'quota', 'spend'] |  |
| 111_1 | 111_2 | 信用卡可刷金額 | ['credit_card', 'money', 'spend'] |  |
| 111_1 | 111_2 | 卡片可刷金額 | ['credit_card', 'debit_card', 'money', 'spend'] |  |
| 111_1 | 111_2 | 目前卡片可刷金額 | ['credit_card', 'current', 'debit_card', 'money', 'spend'] |  |
| 111_1 | 1121 | 目前信用卡額度 | ['credit_card', 'current', 'quota'] |  |
| 111_1 | 111_2 | 信用卡可刷總金額 | ['credit_card', 'money', 'spend'] |  |
| 111_1 | 111_2 | 卡片可刷總金額 | ['credit_card', 'debit_card', 'money', 'spend'] |  |
| 111_1 | 1121 | 卡片刷卡上限 | ['credit_card', 'debit_card', 'quota', 'spend'] |  |
| 111_2 | 111_1 | 請問我已經刷多少金額 | ['already', 'how_much', 'money', 'spend', 'under'] |  |
| 111_2 | 14_5 | 卡片已用金額 | ['already', 'credit_card', 'debit_card', 'money'] |  |
| 111_2 | #10 | 信用卡已用金額 | ['already', 'credit_card', 'money'] |  |
| 111_2 | 31_4 | 本月已刷金額 | ['already', 'money', 'spend'] |  |
| 111_3 | 121 | 信用卡帳務產出時間 | ['credit_card', 'date'] |  |
| 111_3 | 111_8 | 我的帳單日期 | ['bill', 'date'] |  |
| 111_3 | 113_3 | 請問帳單繳款時間 | ['bill', 'date', 'pay'] |  |
| 111_3 | 111_8 | 帳單金額產出時間 | ['bill', 'date', 'money'] |  |
| 111_4 | 113_1 | 信用卡目前已經累積的內容 | ['already', 'credit_card', 'current'] |  |
| 111_5 | 111_8 | 帳單我繳了沒 | ['bill', 'over'] |  |
| 111_5 | 111_8 | 最一次繳款是什麼時候 | ['date', 'how', 'pay', 'when'] |  |
