	texts	labels
0	今天東莞天氣如何	weather
1	從觀音橋到重慶市圖書館怎麼走	map
2	鴨蛋怎麼醃？	cookbook
3	怎麼治療牛皮癬	health
4	嘮什麼	chat
5	陽澄湖大閘蟹的做法。	cookbook
6	崑山大潤發在哪裏	map
7	紅燒肉怎麼做？嗯？	cookbook
8	南京到廈門的火車票	train
9	6的平方	calc
10	翻譯慷慨激昂	translation
11	放歌，天亮了。	music
12	女性時尚	tvchannel
13	查一下南昌到南京的火車	train
14	背首絕句的。	poetry
15	我幫媽媽洗什麼	chat
16	打電話給王宇婕	telephone
17	零零二三零六的股票	stock
18	調頻fm九十七點一	radio
19	把王世懷的號碼發給喬麗君	contacts
20	本期七星彩的中獎號碼是多少？	lottery
21	類風溼怎麼治？	health
22	apple	website
23	搜索國外大片	video
24	代碼000800的股票漲幅是多少	stock
25	秦皇島今天有什麼新聞	news
26	從中山到西安的汽車。	bus
27	葉哲是你的誰	chat
28	打電話給艾背	telephone
29	我背一下春曉。	poetry
30	你的啥啊	chat
31	嘿幹嘛呢	chat
32	打開酷狗並隨機播放	app
33	你不是豬嗎	chat
34	打電話給大培	telephone
35	長者也在嗎	chat
36	茄子雞蛋怎麼做？	cookbook
37	大骨湯的做法。	cookbook
38	我今天去北京了英語怎麼說	translation
39	這是啥啊	chat
40	你喜歡喝什麼茶呀	chat
41	所以查學西寧特鋼的股票	stock
42	來首唐詩小池	poetry
43	新建聯繫人張雨號碼是五六七	contacts
44	打開應用漫畫	app
45	北京的天氣好嗎	chat
46	你都不知道幾點	chat
47	查看電視錄像	video
48	去北京有什麼飛機	flight
49	張思文是不是大美女	chat
50	美國熱門的恐怖電影	video
51	上海到蘇州	map
52	最美的時光	video
53	幻影忍者	video
54	給我背一首滿江紅。	poetry
55	你有壓力嗎	chat
56	調幅am六百二十八	radio
57	微信是幹啥的	chat
58	有啥好喫	chat
59	週六晚上重慶衛視有轉播神探高倫布嗎	epg
60	根下25	calc
61	怎麼去泉城廣場	map
62	你怎麼總是失誤	chat
63	陳嫺TCL股票是漲還是跌了	stock
64	一年和嗎	chat
65	楊三姐告狀	video
66	幫我查一下今天開獎的15選5	lottery
67	123和34的差等於多少	calc
68	耳鳴怎麼辦	health
69	查找桑拿	video
70	那會不會下雨	weather
71	發信息給許路雨	message
72	能安慰安慰我嗎	chat
73	你還能做什麼	chat
74	給我找最新的盜夢空間	video
75	查詢中超賽事。	match
76	去棗莊的火車	train
77	如何做西紅柿炒蛋。	cookbook
78	排骨怎麼弄纔好喫？	cookbook
79	誰爲含愁獨不見	chat
80	哎你在幹啥呢	chat
81	到無錫到北京的火車有幾趟了	train
82	中央八	tvchannel
83	十分鐘後叫我起牀。	schedule
84	給王帥發個短信說他讓他起來尿尿	message
85	你能搜到小說不？	novel
86	買三注星期四開獎的七樂彩	lottery
87	我要看李連杰的電影	video
88	我要上網打開百度	website
89	我說的倒數第三句話是什麼	chat
90	到太湖怎麼走	map
91	你認識我嗎	chat
92	小笨近來好嗎	chat
93	蔣捷的宋詞	poetry
94	看一下今天有什麼新聞？	news
95	酸菜魚的做法，媽。	cookbook
96	查尋合肥到北京的航班	flight
97	幻劍書盟	website
98	CCTV-5節目表	epg
99	你有夥伴嗎	chat
100	笨笨你看過片嗎	chat
101	來個燈謎吧！	riddle
102	捍衛者	video
103	中國最強音	video
104	幫我查一下明天廣州到北京的航班。	flight
105	然後你轉了麼	chat
106	我要聽情動這首歌。	music
107	明天晚上湖南衛視演什麼電視劇	epg
108	電視劇火鳳凰	video
109	這麼聰明	chat
110	老版紅樓夢	video
111	查一下蘭州到成都的火車票	train
112	那你告訴我你幾歲纔好交朋友	chat
113	查詢柳州到昆明的列車	train
114	帶我去丹陽市眼鏡市場	map
115	古惑仔	video
116	背首靜夜思來聽一下。	poetry
117	呵呵，背首詩來聽。	poetry
118	男人好嗎	chat
119	怎樣蒸排骨最好喫的。	cookbook
120	你有什麼特長	chat
121	我想要轉發這條郵件	email
122	蒜薹的做法	cookbook
123	那是怎麼了	chat
124	看一下今天早上新聞。	news
125	女人的顏色六十九集	video
126	你考試掛科怎麼辦	chat
127	是不是隻要我說話你就說話	chat
128	植樹節是什麼時候	datetime
129	做魚怎麼做？	cookbook
130	最近有什麼好電影嗎？	video
131	搜索電影晚秋	video
132	清空提醒	schedule
133	來首宋詞。	poetry
134	可什麼愛我在罵你好嗎	chat
135	看動物卡通	video
136	呼叫徐媛	telephone
137	發短信	message
138	你開什麼車	chat
139	發短信給幺零零八六內容是十一	message
140	聽電話	telephone
141	艾萊岡給我點新聞。	news
142	李亞麗的工作是什麼	chat
143	你今天去了哪裏用英文怎麼講	translation
144	你好醜用英文怎麼說	translation
145	熱門電影有哪些啊？	cinemas
146	你幫我打開網站	website
147	小雨像什麼	chat
148	查看武漢天氣	weather
149	現在電視臺在放什麼節目	epg
150	煤炭板塊股票查詢	stock
151	搜索，西米露的做法。	cookbook
152	李白的將進酒。	poetry
153	爲什麼誇獎我	chat
154	現在電視臺在播什麼	epg
155	你好女兒這幾天有空整理了一下日本她想去的地方麻煩看一下去這些地方大約幾天是否可行報價多少非常感謝	chat
156	你喜歡聽什麼歌曲	chat
157	哪一天國際牛奶日	datetime
158	涼麪。	cookbook
159	你會喝酒嗎？	chat
160	元宵節還有幾個星期	datetime
161	撥打張月華的電話	telephone
162	怎麼弄紅燒肉哦？	cookbook
163	查詢一下明天廣州到武漢的航班	flight
164	給我查一下什麼時間有播放天天向上	epg
165	念個唐詩給我聽。	poetry
166	我想看中央六臺的電影。	epg
167	小燕子要去哪裏	chat
168	誰在和你對話	chat
169	常州天氣預報	weather
170	汪進祥怎麼樣	chat
171	明天回廣州的航班	flight
172	環球旅遊明天有演我愛飯米粒	epg
173	我要看c c t v一	tvchannel
174	打電話給阿敏	telephone
175	問問你做什麼呢	chat
176	爲什麼你是機器人	chat
177	幫我找首詩。	poetry
178	多少錢	chat
179	中超A組比賽結果分別是多少	match
180	武漢的精確時間是	datetime
181	收看安徽衛視節目。	epg
182	一加一用英語怎麼說	translation
183	上QQ我	app
184	最近有什麼熱門的電影？	cinemas
185	中國合夥人	video
186	你學什麼的？	chat
187	CCTV7軍事農業	tvchannel
188	你再給我推薦幾本書	chat
189	查找盧米埃銀泰電影院有播放什麼好看的電影嗎	cinemas
190	設置定時關機。	schedule
191	90年代林心如演的電視劇	video
192	介紹一下尖銳溼疣	health
193	發信息給老婆說我不回家喫飯了	message
194	新蛋網	website
195	翻譯李淼	translation
196	室友秀恩愛怎麼辦	chat
197	打電話給幺三八八九六七五八六七	telephone
198	小兵張嘎電影兒	video
199	趙包子怎麼做的，你？	cookbook
200	到北京的火車班次	train
201	現在哪個臺在播放劇情電視劇	epg
202	做麪包的配方。	cookbook
203	來首我的未來不是夢	music
204	我想聽忐忑這首歌打	music
205	搜索QQ	app
206	你成長了多少	chat
207	怎樣做糖醋排骨時，去喫飯洗澡了。	cookbook
208	播放田園的歌	music
209	查找90年代好評的武俠電影	video
210	你會唱歌嗎來一首	chat
211	海棉寶寶	video
212	知青	video
213	牛肉麪，哦。	cookbook
214	來一首，靈巖。	poetry
215	如何治療感冒	health
216	北京體育頻道明天的節目單	epg
217	我的愛金枝玉葉	video
218	你孝順父母嗎	chat
219	六安市飛雲衛生院在哪裏	map
220	中央一套什麼時候有建黨偉業	epg
221	把張玉娟的手機號碼發送給吳偉	contacts
222	今天天氣冷嗎	weather
223	苦瓜要怎麼做比較好喫	cookbook
224	打電話給盧靜	telephone
225	打開語音軟件	app
226	你最近幹嘛呢	chat
227	幫我打開電話本	app
228	查詢三一重工股票	stock
229	從聊城到東營的車。	bus
230	長沙到懷化的汽車。	bus
231	笨笨生氣了嗎	chat
232	香蕉的英語怎麼說	translation
233	騰訊股票昨日收盤價	stock
234	查看濟南到東營的，汽車。	bus
235	能山藥怎麼做？	cookbook
236	八月十一日從廈門飛往上海的航班	flight
237	合肥到蕪湖的火車票	train
238	附近電影院。	cinemas
239	我國是誰	chat
240	思春夜喜雨下一句是。	poetry
241	得了肝癌怎麼辦？	health
242	濟南去聊城的汽車。	bus
243	給周玉發短信	message
244	人造雞蛋的配方。	cookbook
245	你早上幾點鐘起牀	chat
246	怎樣炒肉。	cookbook
247	看空霸	video
248	給於海洋發短信	message
249	那你想當男生還是想當女生	chat
250	鄭州天氣怎麼樣	weather
251	洛陽至西安的火車	train
252	幫我搜索一下今天的新聞	news
253	大家今天心情如何用英語怎麼說	translation
254	新疆大盤雞的做法。	cookbook
255	上海到青島的飛機票	flight
256	我也是總是困怎麼辦	chat
257	大連飛往上海的航班	flight
258	我想知道深圳明天的天氣	weather
259	久久鴨怎麼做？	cookbook
260	唱一首簡單愛	music
261	你去玩手機了吧用英語怎麼說	translation
262	漂亮和醜你是哪個	chat
263	紅薯粉的做法，了。	cookbook
264	聽聽新聞。	news
265	雙色球的開獎號碼是多少？	lottery
266	前列腺炎該怎麼治？	health
267	我想打你英語怎麼說	translation
268	給許浩發一條短信	message
269	伊利股份股票	stock
270	煮麪怎麼做？	cookbook
271	來一首李煜的詞。	poetry
272	我覺得什麼	chat
273	胃炎怎麼治？	health
274	湖南衛視娛樂節目。	epg
275	不想上班怎麼辦	chat
276	呃發信息給周玉豪	message
277	我要答覆郵件	email
278	明天去南昌的航班。	flight
279	出門去年是個這麼快呀	chat
280	我也聽新聞。	news
281	乳腺炎。	health
282	多想聽新聞，哦。	news
283	查七樂彩開獎結果	lottery
284	去你的用英文怎麼說	translation
285	汪意發是誰	chat
286	麻辣燙做法。	cookbook
287	中央臺五套	tvchannel
288	明天長沙到上海的航班	flight
289	紅燒土豆怎麼燒？	cookbook
290	寧鄉到長沙怎麼走	map
291	中信證券股票	stock
292	金瓶梅	video
293	開啓通訊錄	app
294	最近的科幻大片兒，有什麼？	video
295	我在跟你聊天兒嗎	chat
296	簡單的，糖醋排骨怎麼做？	cookbook
297	有什麼重要新聞嗎？	news
298	瀋陽今天天氣	weather
299	給我搜搜什麼電視臺什麼時間有轉播神探高倫布	epg
300	opera瀏覽器	app
301	出來約炮嗎	chat
302	我想聽昨天晚上的新聞。	news
303	最近好看的小說	novel
304	明天瀘州天氣如何	weather
305	設置提醒。	schedule
306	沙眼。	health
307	給園園發短信	message
308	民間小炒肉的做法。	cookbook
309	直接點什麼時候找到對的他	chat
310	管我什麼事	chat
311	哦來一首青花瓷	music
312	發短信給啊媽說車票買到了	message
313	魚香肉絲肉怎麼做？	cookbook
314	福建電視臺	tvchannel
315	明天珠海到青島的航班	flight
316	風車第十五集	video
317	發信息給熊偉	message
318	來一個燈謎，你。	riddle
319	甲型肝炎。	health
320	今天東莞新聞。	news
321	現在最好看的電影。	epg
322	查一下蘇州到洛陽的火車票	train
323	幫我查一下可樂雞翅怎麼做？	cookbook
324	南京到成都的機票	flight
325	世界地理的節目單	epg
326	你爲啥叫笨笨	chat
327	浙江電視臺	tvchannel
328	我要看湖南臺	tvchannel
329	辣，蘭州拉麪的配方。	cookbook
330	搜索電視劇愛情悠悠藥草香在哪個頻道首播？	epg
331	發郵件給瑩瑩說我好睏我想睡覺	email
332	打開個性鬧鐘	app
333	很晚了你不睡覺嗎	chat
334	早點死英文怎麼翻譯	translation
335	回看安徽衛視烽火佳人	epg
336	查找校園小說沙漏第二部	novel
337	勝者即是正義	video
338	烤牛排怎麼做？	cookbook
339	蒼溪的天氣	weather
340	我要查彩票的開獎信息。	lottery
341	大頭兒子小頭爸爸	video
342	查下李寧公司的股票	stock
343	給王濤打電話	telephone
344	給我講個長篇小說。	novel
345	電影中國合夥人	video
346	幫我轉發郵件	email
347	打電話給之山	telephone
348	查尋上海能源的股票	stock
349	告訴我今天的新聞內容	news
350	深圳至合肥的火車票	train
351	不怕啥	chat
352	我要看中央五臺	tvchannel
353	你認識徐俊嗎	chat
354	這個新聞有意思嗎	chat
355	怎麼治療口腔潰瘍呃呃呃	health
356	送黃炒雞蛋怎麼做？	cookbook
357	紫菜蛋花湯。	cookbook
358	來首隻愛你一個。	music
359	得了艾滋病怎麼辦	health
360	愛情公約	video
361	我想寫一個新郵件	email
362	進入訊飛官網	website
363	煲雞湯呢	cookbook
364	天氣如何	weather
365	幫我查一下贛州到杭州的火車票	train
366	誰美	chat
367	搜索結束軟件	app
368	答覆，我要聽新聞。	news
369	燈謎惑下。	riddle
370	我要猜字謎不笨有答案。	riddle
371	給我接聽電話	telephone
372	到鄭州火車站	map
373	知道麼	chat
374	7月25號去上海的航班。	flight
375	我要看古典仙俠小說	novel
376	查一查同方股份的股票	stock
377	我想看斯皮爾伯格導演的電影	video
378	你愛哈工大嗎	chat
379	撥打幺三九七七零九八七七六	telephone
380	去湘江	map
381	大閘蟹的做法。	cookbook
382	來一首月亮惹的禍	music
383	回鍋肉。	cookbook
384	來個最新新聞。	news
385	昨天的北京新聞	epg
386	新紮師妹	video
387	我要聽新聞，給我數。	news
388	貴溪至泉州的火車票	train
389	還要臉嗎	chat
390	打開豐順縣政府網	website
391	準備好了嗎？	chat
392	中國新聞網網站	website
393	看一看大樂透的信息	lottery
394	陳真	video
395	今天有些什麼電影？	epg
396	豔照門事件。	news
397	笨笨你的底層是基於什麼算法啊	chat
398	江蘇舜天隊這個星期的比賽時間給我找出來	match
399	大樂透中獎號碼爲	lottery
400	肥東人民廣播電臺調頻FM101.3	radio
401	給我來首唐詩三百首。	poetry
402	唐寅的詩。	poetry
403	長沙明天是什麼天氣	weather
404	幫我查一下週杰倫的歌	music
405	打開系統軟件清理	app
406	怎麼對	chat
407	發短信給葉少雲晚上要不要出去玩	message
408	你有幾個小妹妹	chat
409	放首歌聽一下你好	music
410	那做紅燒魚需要哪些材料啊？	cookbook
411	怎麼做魚呢？	cookbook
412	靜脈曲張怎麼治療？哦？	health
413	出租車的英文怎麼說	translation
414	我想聽11年，這首歌哦。	music
415	科大訊飛今天的股票	stock
416	播放歌曲再見青春	music
417	怎麼煮麪纔好喫呢？	cookbook
418	23減去根號4	calc
419	我想聽首歌	music
420	幫我查一下杭州到長春的飛機航班	flight
421	但還是很差	chat
422	搜一下CCTV74月15號播出新編輯部的故事呢	epg
423	會英文嗎	chat
424	各來一首李白的詩詞。	poetry
425	我想看高爾夫網球頻道	tvchannel
426	央3	tvchannel
427	青春期撞上更年期二	video
428	中央六臺有什麼節目	epg
429	給我查一下最近在播哪些電影	cinemas
430	從杭州到黃山的汽車。	bus
431	你給我背一首白居易的詩。	poetry
432	我不在家英語怎麼說	translation
433	剛纔你說你叫啥來着	chat
434	爲什麼要請你	chat
435	打開uc瀏覽器v八	app
436	心術電影	video
437	提醒我明天約老同學。	schedule
438	我說鐵鍋燉羊肉怎麼做？	cookbook
439	你都會啥啊	chat
440	我們做愛吧用英文怎麼說	translation
441	怎麼教你變聰明	chat
442	中央四頻道火箭兜風	epg
443	朗讀詠雪	poetry
444	打開索尼官方網站	website
445	從西安到石嘴山的汽車票。	bus
446	電視臺在播什麼節目	epg
447	蘇寧易購	website
448	北京卡酷熊出沒	epg
449	你真笨，是四喜丸子怎麼做了。	cookbook
450	搜索最近的，科幻電影。	video
451	你啥時候出現的	chat
452	還是想知道你能做些什麼	chat
453	我要聽中超第二十，八輪的結果。	match
454	魚的做法	cookbook
455	七星彩	lottery
456	貴陽至長沙的火車票	train
457	新浪汽車	website
458	搞笑謎語。	riddle
459	求米線怎麼做？	cookbook
460	笨笨我不喜歡你這個名字你可以給自己換一個麼	chat
461	你怎麼知道呢	chat
462	把僑天慧的號碼發給副卡	contacts
463	搜索七樂彩的公示號碼	lottery
464	幫我搜一下科大訊飛在哪	map
465	我要去姜堰	map
466	打電話給摩托老師	telephone
467	命運派對	video
468	打開三星首頁	website
469	午飯怎麼辦	chat
470	但我想點新聞。	news
471	你好嗎你好嗎好嗎	chat
472	天氣怎樣	weather
473	孫翠魚怎麼做？	cookbook
474	CCTV少兒	tvchannel
475	從我這裏去芙蓉區政府怎麼去	map
476	查詢一汽轎車股票	stock
477	你叫什麼啊	chat
478	發送短信給陳羣	message
479	你是醫生嗎	chat
480	什麼東西	chat
481	牛肉怎麼煮纔好喫？你？	cookbook
482	幫我查一下15選5開獎結果	lottery
483	查個字謎。	riddle
484	麻煩您可不可以幫我調頻99.3嘉善人民廣播電臺	radio
485	但是我想上騰訊網	website
486	上海寶鋼股票	stock
487	章源鎢業	stock
488	巴中的天氣	weather
489	導航到佛山大良汽車站	map
490	黃豆豬蹄湯。	cookbook
491	激動	website
492	打電話給潘立長	telephone
493	到步行街不走高架的路線是哪條	map
494	搜索蒙牛的股市行情	stock
495	廣州到孝感的火車	train
496	搜狗	app
497	薛平貴與王寶釧	video
498	打電話零九一零二五六五三五四	telephone
499	洛陽的天氣	weather
500	你有牙嗎	chat
501	98.4香港電臺第四臺	radio
502	我不明白用英文怎麼講	translation
503	人福醫藥股票	stock
504	提是誰	chat
505	上週六發現之旅有演星跳水立方呢	epg
506	給曉琴發短信你在幹嗎	message
507	給原波發短信	message
508	陰精英語怎麼說	translation
509	後天去武漢的航班	flight
510	林芝喫什麼	chat
511	你知道我幾歲	chat
512	搜索中國移動的股市行情	stock
513	慕斯的做法。	cookbook
514	查詢昆明到合肥的火車	train
515	講點新聞	news
516	啥時候長大啊	chat
517	根號76	calc
518	就是很想看一下大衆影院	tvchannel
519	燉鰱魚怎麼做？	cookbook
520	那你教我怎麼搭訕好了	chat
521	江蘇影視	tvchannel
522	誰傻	chat
