texts	labels
主管卡片消磁該如何處理	br1
舊的主管卡要如何處理	br1
卡號不夠使用怎麼辦	br1
櫃員系統無法登入	br2
帳號沒有被鎖定，為何無法登入櫃員系統	br2
同仁調到新的單位，櫃員系統無法登入	br2
換電腦後桌面沒有櫃員系統	br3
櫃員系統不為最新版本	br3
櫃員系統版號如何確認	br3
10101開戶出現錯誤訊息3030尚未結清	br4
開戶錯誤訊息	br4
外匯系統匯入匯款解付，中文姓名欄位反灰無法輸入	cf1
顧客維護檔有建中文姓名，為什麼解付時系統沒有自動帶入	cf1
匯出後台經辦登打畫面與文件掃描畫面兩筆案件編號不同	cf2
匯出案件的影像檔帶其他筆案件編號	cf2
中心經辦取件後顯示的案件編號與匯出匯款申請書不同筆	cf2
企網執行外幣單筆轉帳，帳上餘額足夠，出現交易失敗，請聯絡系統管理員ims-3099	cf3
轉出帳號未被註記久未往來，執行交易卻出現ims-3099	cf3
外幣交易出現ims-3099，已請現金管理人員確認帳戶狀態都正常	cf3
自行轉帳掉異常0920 非正常戶，申請人與受款人皆無特殊註記	cf4
自行轉帳掉異常件4704 帳號幣別已存在，查詢櫃員系統轉入帳號沒有該幣別	cf4
外存掉異常0920 非正常戶，查詢帳戶無例外事故	cf4
外匯存款掉異常record not existed	cf5
結購掉異常record not existed	cf5
點開議價系統出現執行階段錯誤 '339' :元件 'tabctl32.ocx'或它的依存檔並未正確註冊:某檔案遺漏或不正確	cf6
議價系統無法打開	cf6
行員登入法金的網路銀行出現登入帳號不存在	cf7
企網銀新增權限	cf7
新增行員登入權限	cf7
有理財專員理財專員權限為什麼不能幫顧客使用理財快易通進行基金下單	wm1
使用理財快易通買基金要怎麼操作	wm1
使用理財快易通買基金要用財管系統還是交易系統進行交易	wm1
web應用系統沒有財富系統	wm2
財富系統 你的帳號狀態錯誤註銷, 請確認後再重新登入系統 	wm2
申請 財富系統	wm2
顧客已銷戶，為何申請信卡版網銀無法成功	df1
一般版網銀銷戶後可改申請信卡版網銀嗎	df1
信卡版網銀申請失敗可能的原因	df1
信卡版顧客更名後，為何網銀仍顯示舊姓名	df2
已更正過生日，網銀卻未更新	df2
信卡版網銀更名後，何時會生效	df2
e指開戶系統目前是不是有異常	df3
顧客使用自然人憑證辦理e指開戶，出現錯誤碼9105	df3
顧客現在無法使用線上e指開戶的服務	df3
信件收發系統若要申請帳號密碼該如何申請	rm1
信件收發系統的密碼若是被鎖定了該怎麼辦	rm1
信件收發系統的帳號或密碼若忘記了該怎麼辦	rm1
公文要怎麼退回上一關	rm2
決行長官沒有決行，要怎麼辦	rm2
流程中要再加一關怎麼辦	rm2
顧客於網銀上變更email之後，櫃員系統-20301基本資料變更紀錄多久會更新	cc1
顧客於行動銀行變更email之後，在重新進入網銀基本資料設定email並沒有變更	cc1
顧客於行動銀行變更email，會收到驗證信件嗎	cc1
會計處公用槽j槽沒有權限該如何申請	ac1
會計處公用槽j槽檔案刪除時出現您可以向 「oant」\he開機帳密cd開機帳密m 取得權限來變更此檔案	ac1
會計處公用槽j槽的有權人員是誰	ac1
電子信箱突然斷線	eb1
開啟行員共通系統「eip」彈出彈跳視窗	eb1
參考到的帳戶已鎖定	eb1
為什麼代理人無法編輯委辦單	eb2
同仁休假，代理人會收到委辦單通知信件嗎	eb2
