texts	labels
消費限額	111_1
消費限額多少	111_1
帳單額度	111_1
現有卡片額度	111_1
想請問信用額度	111_1
額度	111_1
額度介紹	111_1
我信用卡額度核發多少	111_1
我的信用卡消費額度多少	111_1
如何查詢額度	111_1
我這張卡上限多少	111_1
我額度上限多少	111_1
我這張卡可以刷多少錢	111_1
請問信用額度	111_1
額度查詢	111_1
我這張卡片有多少額度	111_1
卡片總額度多少	111_1
我這張卡有多少可以刷	111_1
我這張卡額度多少	111_1
我這張卡能用多少	111_1
卡片核的額度是多少	111_1
我有多張卡片可以刷多少	111_1
全部的卡片可以刷多少	111_1
全部的卡片有多少額度	111_1
卡片刷卡上限是多少	111_1
卡片核多少	111_1
信用卡額度多少	111_1
卡片總額有多少	111_1
信用卡總額度多少	111_1
信用卡總額度有多少	111_1
卡片總額度有多少	111_1
信用卡總額有多少	111_1
卡片額度有多少	111_1
卡片核發額度	111_1
卡片限額	111_1
信用卡限額	111_1
信用卡總額多少	111_1
信用卡總額度金額	111_1
信用卡總額	111_1
信用卡核發額度	111_1
信用卡上限金額	111_1
我的信用卡總額	111_1
我的信用卡上限	111_1
我的信用卡核發金額	111_1
我的信用卡額度多少	111_1
我新卡額度多少	111_1
我新卡總額	111_1
我新卡限額	111_1
我新卡上限	111_1
我新卡總額度	111_1
我新卡額度有多少	111_1
我新卡核發金額	111_1
我的信用卡額度還有多少	111_1
請問信用卡額度	111_1
卡片核發總額度	111_1
卡片額度共用	111_1
所有卡片額度都共用嗎	111_1
信用卡額度上限	111_1
我的信用卡額度上限	111_1
信用卡額度還可以刷多少	111_1
卡片還剩多少額度	111_1
信用卡可刷額度	111_1
信用卡目前額度	111_1
信用卡目前可用額度	111_1
信用卡目前可使用的額度	111_1
卡片目前可用額度	111_1
卡片目前可刷額度	111_1
信用卡可刷金額	111_1
卡片可刷金額	111_1
目前卡片可刷金額	111_1
目前信用卡額度	111_1
卡片總額度	111_1
信用卡可刷總金額	111_1
卡片可刷總金額	111_1
卡片刷卡上限	111_1
我信用卡額度已經用多少了	111_2
已經用多少信用卡額度	111_2
信用卡額度用多少了	111_2
信用卡額度已經消費多少	111_2
信用卡額度用掉多少了	111_2
信用卡額度已用多少	111_2
我信用卡已經刷多少額度了	111_2
我總共刷多少了	111_2
信用卡已消費多少額度	111_2
我信用卡額度用多少了	111_2
我額度用掉多少了	111_2
我花費多少額度了	111_2
信用卡額度花多少了	111_2
已花費多少信用卡額度	111_2
已使用多少信用卡額度	111_2
我已經用多少信用卡額度	111_2
我刷了多少額度	111_2
信用卡已用額度查詢	111_2
已刷卡額度查詢	111_2
信用卡已刷卡額度	111_2
刷卡消費多少額度	111_2
信用卡消費多少額度了	111_2
我用掉多少卡片額度了	111_2
信用卡已經刷多少錢了	111_2
信用卡有目前刷多少了	111_2
信用卡全部消費有多少了	111_2
信用卡全部刷多少	111_2
我信用卡額度已經使用多少了	111_2
信用卡我刷了多少額度	111_2
信用卡額度我用了多少	111_2
我用了多少信用卡額度	111_2
信用卡額度我刷了多少	111_2
我刷了多少信用卡額度	111_2
信用卡已刷金額	111_2
信用卡已消費金額	111_2
已刷卡額度	111_2
目前已用額度	111_2
我已使用額度	111_2
我信用卡已使用金額	111_2
卡片已使用金額	111_2
卡片已刷金額	111_2
卡片已消費金額	111_2
目前已經刷多少了	111_2
目前已刷金額	111_2
目前已使用金額	111_2
信用卡還有多少沒付	111_2
我信用卡總共還欠多少	111_2
請問目前已經刷的額度	111_2
目前已使用額度	111_2
目前已刷額度	111_2
目前已經刷多少	111_2
請問目前刷卡多少錢	111_2
目前已請款金額	111_2
請問目前卡片刷卡金額	111_2
請問目前卡片已經刷多少錢	111_2
請問卡片目前使用額度狀況	111_2
想詢問目前以刷卡的金額	111_2
想詢問卡片目前刷卡金額	111_2
想詢問卡片以用額度	111_2
請問卡片已用額度	111_2
請問我已經刷多少金額	111_2
請問我目前已經刷多少錢	111_2
請問已經用掉多少額度了	111_2
想確認目前已用額度	111_2
想確認目前已經刷的金額	111_2
想確認目前已刷額度	111_2
請問目前刷卡金額	111_2
請問目前卡片以刷金額	111_2
請問目前已用多少額度	111_2
卡片已用金額	111_2
卡片已用額度	111_2
信用卡已用金額	111_2
本月已刷金額	111_2
本月已刷額度	111_2
本月已使用的額度	111_2
我帳單幾號結帳	111_3
我信用卡帳單何時才會結帳	111_3
我的結帳日是幾號	111_3
帳單要等到幾號才會結帳	111_3
我帳單結帳了沒	111_3
我信用卡還沒結帳嗎	111_3
信用卡結帳日期是什麼時候	111_3
結帳日	111_3
我要查結帳日	111_3
我想確認結帳日	111_3
我的結帳日是何時	111_3
我的帳單幾號結算	111_3
信用卡帳單幾號會寄來	111_3
信用卡帳單切點是幾號	111_3
信用卡今天刷卡什麼時候繳錢	111_3
現在刷卡帳單什麼時候寄來	111_3
信用卡結帳是幾號	111_3
信用卡幾號結帳	111_3
什麼時候可以查詢到信用卡帳單	111_3
我帳單什麼時候出來	111_3
我的信用卡消費什麼出來	111_3
信用卡帳單什麼時候結帳	111_3
幾號是信用卡結帳日	111_3
信用卡帳單出來了嗎	111_3
我幾號結帳	111_3
我信用卡帳單什麼時候會出來	111_3
信用卡帳單幾號會出來	111_3
我最新信用卡帳單什麼時候看的到	111_3
信用卡帳單結帳了嗎	111_3
我的信用卡帳單結帳了嗎	111_3
我信用卡幾號結帳	111_3
這個月結帳了嗎	111_3
信用卡結帳時間	111_3
信用卡哪時結帳	111_3
信用卡結帳日期	111_3
信用卡結算時間	111_3
卡片結帳日期	111_3
卡片結帳日是幾號	111_3
卡片結帳日期是幾號	111_3
卡片結算時間	111_3
我刷卡算到哪時候	111_3
我信用卡哪時出帳單	111_3
我刷卡結算日	111_3
我刷卡結算到哪時	111_3
我每個月幾號結帳	111_3
我信用卡的週期	111_3
我信用卡帳單刷卡週期	111_3
信用卡帳單幾號出來	111_3
幾號信用卡帳單出來	111_3
我信用卡帳單結算時間	111_3
幾號是信用卡出帳日	111_3
帳單什麼時候出來	111_3
帳單幾號關帳	111_3
帳單幾號結算	111_3
信用卡帳單結算日	111_3
信用卡帳單結算時間	111_3
我的信用卡帳單產出日	111_3
信用卡帳單產出日	111_3
信用卡帳單關帳時間	111_3
信用卡帳單產出時間	111_3
信用卡帳務產出時間	111_3
信用卡帳單結算日期	111_3
我的帳單日期	111_3
我的帳單結算日期	111_3
我的帳單結算時間	111_3
請問帳單關帳時間	111_3
請問帳單結算日	111_3
請問信用卡帳單周期	111_3
請問信用卡帳務結算時間	111_3
請問信用卡什麼時候結算	111_3
請問卡片帳單結算日	111_3
請問卡片帳單日期	111_3
請問卡片帳單周期	111_3
請問帳單繳款時間	111_3
帳單金額產出時間	111_3
想確認一筆刷卡請款了嗎	111_4
我要去哪裡查詢已經請款的消費	111_4
下期帳單有哪些消費	111_4
我想查下期帳單有哪些消費	111_4
我有哪些消費已經請款了	111_4
我想查下期帳單的刷卡明細	111_4
我有哪些刷卡已經請款了	111_4
我想確認已請款的消費	111_4
我想問一筆刷卡店家請款了嗎	111_4
請問店家請款了嗎	111_4
我到目前為止已經刷多少了	111_4
下一期我要繳多少	111_4
下期帳單目前有多少了	111_4
商店請款了沒	111_4
款項入帳了沒	111_4
下個月要繳多少	111_4
消費入帳了沒	111_4
買東西入帳明細	111_4
我這筆消費請款了嗎	111_4
查詢信用卡未出帳交易	111_4
信用卡未出帳明細	111_4
確認信用卡未出帳狀況	111_4
我還沒出帳的金額有多少	111_4
下一期我刷多少了	111_4
我帳單下一期刷多少	111_4
我帳單下一期已經刷多少	111_4
還沒出的金額刷多少	111_4
沒入帳單金額有多少	111_4
還沒繳費的明細	111_4
已請款明細	111_4
欲繳款明細	111_4
下期帳單繳款明細	111_4
下期帳單刷卡明細	111_4
要繳款明細	111_4
下期帳單明細	111_4
下個月繳款明細	111_4
隔月繳款明細	111_4
次月繳款明細	111_4
下次繳款明細	111_4
要繳款的明細	111_4
已請款的明細	111_4
欲繳款的明細	111_4
下期帳單繳款的明細	111_4
下期帳單刷卡的明細	111_4
下期帳單的明細	111_4
下個月繳款的明細	111_4
隔月繳款的明細	111_4
次月繳款的明細	111_4
下次要繳款明細	111_4
下次要繳款的明細	111_4
